#;TITLE;ARTIST;RELEASE;BPM;ENERGY;DANCE;LOUD;VALENCE;LENGTH;ACOUSTIC;POP.
230;Ti Nea Psipsina;Lena Platonos;12/11/2007;131;70;67;-8;74;3:44;1;9
231;Street Spirit (Fade Out);Radiohead;1/11/1994;138;45;49;-12;13;4:14;31;10
232;Piledriver waltz;Alex Turner;14/3/2011;106;75;53;-8;34;3:25;12;52
233;Life On Mars? - 1999 Remastered Version;David Bowie;17/12/1971;121;59;44;-8;36;3:43;53;52
234;Does He Love You?;Rilo Kiley;27/7/2004;79;61;32;-6;29;5:13;6;38
235;Daydreaming;Dark Dark Dark;7/3/2011;140;25;55;-12;20;4:48;94;45
236;Flowers In December;Mazzy Star;17/10/1996;97;23;59;-13;16;4:58;12;45
237;The Windmills Of Your Mind;Dusty Springfield;31/3/1969;76;20;31;-14;22;3:48;73;39
238;Oh Mandy;The Spinto Band;20/2/2006;137;96;51;-4;57;3:35;5;39
239;Normal Person;Arcade Fire;1/1/2013;117;73;40;-5;33;4:22;2;43
240;Paul Is Alive;EL VY;7/10/2015;94;55;39;-7;64;3:31;6;29
241;Road To Nowhere - 2005 Remastered Version;Talking Heads;10/7/1985;110;81;65;-5;60;4:27;3;52
242;Little Man Blues;His Majesty the King of Spain;18/6/2012;141;15;50;-12;28;2:14;97;0
243;Vapour Trail;Ride;1990;108;80;43;-6;42;4:18;0;45
244;The Red Telephone;Love;1/11/1967;110;39;47;-14;9;4:46;57;34
245;A Better Son/Daughter;Rilo Kiley;1/10/2002;114;42;48;-11;5;4:39;7;45
246;The Blues Are Still Blue;Belle & Sebastian;2006;120;83;74;-5;93;4:09;25;37
247;Wandering Eye;Ed Harcourt;25/2/2013;64;38;28;-9;13;4:31;95;19
248;Little Lou, Ugly Jack, Prophet John;Belle & Sebastian;8/10/2010;147;40;56;-11;28;4:34;45;43
249;Lazy Line Painter Jane;Belle & Sebastian;23/5/2005;125;74;34;-6;26;5:50;11;38
250;Marvin Gaye (feat. Meghan Trainor);Charlie Puth;1/5/2015;110;62;80;-5;82;3:10;42;76
251;Airport;The Motors;1995;137;53;50;-10;60;4:36;32;40
252;Tha 'thela Na 'mouna Eki;Fivos Delivorias;28/2/2013;111;32;49;-15;33;2:43;71;10
253;I Bosa Nova Tou Isaia;Fivos Delivorias;14/3/1984;136;46;63;-16;79;4:32;59;20
254;The Golden Throne;Temples;2013;118;81;49;-6;10;4:11;0;44
255;GMF;John Grant;11/3/2013;142;47;47;-9;36;5:14;24;48
256;With Arms Outstretched;Rilo Kiley;1/10/2002;108;47;50;-7;18;3:43;54;46
257;Vradi;Savina Yannatou;5/11/2007;108;13;36;-17;16;3:09;89;6
258;Athanasia;Margarita Zorbala;21/4/2008;82;24;47;-12;30;3:03;94;4
259;The Man Who Sold The World - 2015 Remastered Version;David Bowie;25/9/2015;118;39;47;-14;53;4:01;64;39
260;All of Me;John Legend;30/8/2013;120;26;42;-7;33;4:30;92;82
261;Climbing Up The Walls;Radiohead;21/5/1997;79;66;17;-7;21;4:45;10;10
262;The Luckiest Guy On The Lower East Side;The Magnetic Fields;1999;79;86;49;-6;45;3:43;30;34
263;Your Arms Around Me;Jens Lekman;9/10/2007;106;60;41;-7;28;5:03;4;46
264;Lost Coastlines;Okkervil River;9/9/2008;110;78;53;-5;71;5:32;4;47
265;Step Into My Office, Baby;Belle & Sebastian;6/10/2003;135;54;54;-9;53;4:12;36;38
266;Fits & Starts;The Decemberists;9/10/2015;153;94;33;-5;81;2:41;8;12
267;I Have Been Floated;The Olivia Tremor Control;1999;76;43;27;-12;24;3:40;16;5
268;In My Life - Remastered 2009;The Beatles;3/12/1965;103;44;69;-11;41;2:26;45;64
269;Street Hassle;Lou Reed;1/2/1978;131;12;60;-20;22;10:53;95;42
270;No Comprende;Low;11/9/2015;74;30;65;-6;23;4:59;21;45
271;Pretty Eve in the Tub;God Help The Girl;22/6/2009;86;9;35;-15;44;2:44;96;20
272;All The Old Showstoppers;The New Pornographers;21/8/2007;185;74;54;-7;71;4:08;35;30
273;The Start Of Something;Voxtrot;1/1/2005;107;73;63;-7;70;4:32;18;53
274;Siopi;Xilina Spathia;16/9/2013;99;11;45;-19;6;3:59;87;17
275;Fotia Sto Limani;Xilina Spathia;2005;100;37;53;-10;3;4:58;3;20
276;This Is The Last Time;The National;27/5/2013;140;50;50;-10;14;4:43;64;59
277;Human Sadness;Julian Casablancas+The Voidz;23/9/2014;122;76;23;-5;13;10:57;22;51
278;En Lefko;Gerasimos Evangelatos;1/3/2008;138;26;52;-10;6;3:55;71;25
279;Big Bird;AJJ;20/9/2011;112;45;30;-8;23;5:22;16;34
280;O Tahydromos Pethane;Savina Yannatou;11/9/2007;130;28;35;-10;38;4:07;87;7
281;Dedication;Savina Yannatou;8/1/2008;144;20;31;-13;32;2:55;95;2
282;Mary;Carte Postale;15/4/2014;126;62;63;-8;48;4:23;21;3
283;Standing Next To Me;The Last Shadow Puppets;9/6/2008;184;93;31;-6;74;2:18;0;19
284;Vagabond;Beirut;30/8/2011;80;65;46;-8;78;3:19;46;46
285;Washer;Slint;15/3/1991;111;10;45;-24;4;8:50;38;36
286;Wayfaring Stranger;Johnny Cash;1/1/2000;119;28;42;-10;35;3:20;91;34
287;Travelling Light;Tindersticks;1/1/1995;112;24;50;-18;28;4:52;51;31
288;Between The Bars;Elliott Smith;25/2/1997;135;7;53;-23;35;2:21;93;59
289;This Year;The Mountain Goats;2/5/2005;139;72;70;-9;82;3:53;12;52
290;Space Dementia;Muse;2001;171;72;17;-7;7;6:21;2;47
291;Starman - 2012 Remastered Version;David Bowie;6/6/1972;100;46;48;-10;54;4:14;15;68
292;Moonage Daydream - 2012 Remastered Version;David Bowie;6/6/1972;144;61;56;-11;74;4:41;4;46
293;The Ballad Of Me & My Friends;Frank Turner;2007;135;37;49;-9;26;2:33;80;0
294;Tha Me Dikasei;Sotiria Bellou;26/2/2008;115;43;35;-8;17;3:30;89;1
295;Venus In Furs;The Velvet Underground;12/3/1967;72;64;33;-10;59;5:12;0;48
296;Your Ex-Lover Is Dead;Stars;16/4/2013;153;51;37;-7;34;4:16;0;33
297;Ruled By Secrecy;Muse;23/3/2004;148;23;40;-13;4;4:52;80;47
298;Your Best American Girl;Mitski;2/3/2016;78;26;33;-10;12;3:32;2;48
299;Two;The Antlers;26/10/2009;110;51;56;-10;13;5:56;33;21
